City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,sinnar,13.5691,33.5672,27.44,19,30,4.49,SD,1736874586
311,mocorito,25.4833,-107.9167,23.25,31,5,0.2,MX,1736874587
312,winnemucca,40.973,-117.7357,-5.97,79,0,0.0,US,1736874590
313,rio grande,-32.035,-52.0986,25.07,66,86,7.4,BR,1736874331
314,stephenville,32.2207,-98.2023,9.58,49,0,3.09,US,1736874389
315,kayes,14.0,-11.0,33.41,11,100,2.3,ML,1736874594
316,qui nhon,13.7667,109.2333,21.04,90,100,4.67,VN,1736874596
317,antsiranana,-12.2787,49.2917,25.63,80,96,2.31,MG,1736874597
318,aydincik,36.1437,33.3202,15.81,79,75,3.02,TR,1736874598
319,hecun,36.5333,114.1111,-2.49,23,0,0.18,CN,1736874600
320,flying fish cove,-10.4217,105.6791,24.82,88,47,2.06,CX,1736874601
321,yabelo,4.8833,38.0833,20.75,21,44,8.36,ET,1736874603
322,spearfish,44.4908,-103.8594,-0.96,78,100,5.14,US,1736874533
323,bereeda,11.8704,51.0579,23.74,68,45,7.12,SO,1736874607
324,galeana,24.8333,-100.0667,13.21,54,100,0.56,MX,1736874608
325,brezina,33.0989,1.2608,6.25,57,37,7.25,DZ,1736874609
326,gizo,-8.103,156.8419,27.88,77,42,2.53,SB,1736874612
327,raduzhny,62.0961,77.475,-9.17,96,100,4.2,RU,1736874614
328,bayji,34.9311,43.487,13.55,54,10,3.09,IQ,1736874615
329,embi,48.8264,58.1442,-9.59,96,100,1.42,KZ,1736874616
330,mead,47.7674,-117.3549,-0.93,87,100,1.54,US,1736874618
331,camayenne,9.535,-13.6878,27.71,63,47,5.69,GN,1736874619
332,ceska lipa,50.6855,14.5376,-1.1,88,97,1.45,CZ,1736874620
333,akureyri,65.6835,-18.0878,8.96,76,75,14.4,IS,1736874622
334,nantucket,41.2835,-70.0995,2.06,44,0,8.75,US,1736874623
335,homer,59.6425,-151.5483,0.94,72,75,0.0,US,1736874625
336,kalajoki,64.25,23.95,-1.56,88,16,5.91,FI,1736874626
337,kargasok,59.0556,80.8572,-7.78,93,99,4.0,RU,1736874627
338,imbituva,-25.23,-50.6044,28.55,35,8,1.95,BR,1736874630
339,altay,47.8667,88.1167,-12.58,45,1,3.94,CN,1736874639
340,santa isabel,-23.3156,-46.2214,22.61,55,70,2.7,BR,1736874640
341,susuman,62.7833,148.1667,-44.03,97,68,0.25,RU,1736874641
